No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
644,BFAM,Bright Horizons Family Solutions Inc.,Services,Personal Services,USA,6174.65,48.65,107.41,1.23%,69842
645,BFIN,BankFinancial Corporation,Financial,Savings & Loans,USA,317.71,24.64,17.94,-0.11%,14889
647,BFK,BlackRock Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,578.77,50.83,12.88,-0.23%,42214
648,BFO,Blackrock Florida Municipal 202,Financial,Closed-End Fund - Debt,USA,79.71,123.53,14.29,-0.28%,402
650,BFR,BBVA Banco Frances S.A.,Financial,Foreign Regional Banks,Argentina,2687.51,18.28,13.49,3.93%,297912
651,BFRA,Biofrontera AG,Healthcare,Biotechnology,Germany,500.57,,13.26,1.77%,1789
652,BFS,"Saul Centers, Inc.",Financial,REIT - Retail,USA,1196.48,38.57,54.9,-2.18%,16248
653,BFY,BlackRock New York Municipal Income Trust II,Financial,Asset Management,USA,64.51,23.48,12.85,-0.31%,2154
654,BFZ,BlackRock California Municipal Income Trust,Financial,Closed-End Fund - Debt,USA,413.14,21.51,12.9,-0.39%,171356
655,BG,Bunge Limited,Consumer Goods,Farm Products,USA,9820.63,114.02,69.62,-0.23%,450049
656,BGB,Blackstone/GSO Strategic Credit Fund,Financial,Closed-End Fund - Debt,USA,710.16,11.67,15.96,0.36%,75764
657,BGCP,"BGC Partners, Inc.",Financial,Investment Brokerage - National,USA,3626.06,17.52,11.4,0.93%,667374
658,BGFV,Big 5 Sporting Goods Corporation,Services,Sporting Goods Stores,USA,155.31,,7.25,-1.36%,144587
659,BGG,Briggs & Stratton Corporation,Industrial Goods,Diversified Machinery,USA,757.31,17.53,18.57,2.77%,131746
661,BGI,Birks Group Inc.,Services,Jewelry Stores,Canada,23.3,5,1.29,0.79%,18380
663,BGNE,"BeiGene, Ltd.",Healthcare,Biotechnology,Cayman Islands,8205.18,,170.59,0.96%,134051
664,BGR,BlackRock Energy and Resources Trust,Financial,Closed-End Fund - Equity,USA,453.94,38.53,15.51,1.91%,71602
665,BGS,"B&G Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,2151.86,29.62,31.6,-2.32%,367275
666,BGSF,"BG Staffing, Inc.",Services,Staffing & Outsourcing Services,USA,233,20.36,22.95,-1.80%,36296
669,BGY,BlackRock Enhanced International Dividend Trust,Financial,Closed-End Fund - Foreign,USA,630.3,4.68,5.8,0.43%,151940
670,BH,Biglari Holdings Inc.,Services,Restaurants,USA,606.25,,198.86,-2.25%,3332
671,BHACU,Barington/Hilco Acquisition Corp. Units,Conglomerates,Conglomerates,USA,33.6,,10.5,0.00%,0
672,BHB,Bar Harbor Bankshares,Financial,Regional - Northeast Banks,USA,474.62,14.18,30.75,0.23%,31599
673,BHBK,"Blue Hills Bancorp, Inc.",Financial,Money Center Banks,USA,600.37,30.99,22.85,0.46%,12480
674,BHE,"Benchmark Electronics, Inc.",Technology,Printed Circuit Boards,USA,1450.66,20.48,30,0.33%,205438
675,BHF,"Brighthouse Financial, Inc.",Financial,Life Insurance,USA,4995.73,,43.41,4.08%,1168134
676,BHGE,"Baker Hughes, a GE company",Basic Materials,Oil & Gas Equipment & Services,USA,37047.44,,34.57,2.67%,1549320
677,BHK,BlackRock Core Bond Trust,Financial,Closed-End Fund - Debt,USA,694.14,,12.86,-0.08%,78137
678,BHLB,"Berkshire Hills Bancorp, Inc.",Financial,Savings & Loans,USA,1855.62,21.08,41.97,1.02%,112950
679,BHP,BHP Billiton Limited,Basic Materials,Industrial Metals & Minerals,Australia,131957.17,20.26,50.92,2.70%,1198799
680,BHR,"Braemar Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,371.44,2.46,11.8,-0.76%,111069
681,BHTG,"BioHiTech Global, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,54.91,,3.66,-3.68%,4847
682,BHV,BlackRock Virginia Municipal Bond Trust,Financial,Asset Management,USA,26.9,47.89,16.82,0.03%,1382
683,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,Healthcare,Biotechnology,USA,1629.7,,41.81,-2.77%,241344
687,BID,Sotheby's,Services,"Specialty Retail, Other",USA,2867.22,24.2,57.2,1.74%,72100
688,BIDU,"Baidu, Inc.",Technology,Internet Information Providers,China,85936.66,25.26,261.39,3.82%,3118741
690,BIG,"Big Lots, Inc.",Services,"Discount, Variety Stores",USA,1645.1,10.16,41.19,1.28%,555632
691,BIIB,Biogen Inc.,Healthcare,Biotechnology,USA,61933.41,18.29,350.92,-1.83%,3004226
693,BILI,Bilibili Inc.,Technology,Internet Information Providers,China,3843.04,,13.79,3.68%,6054461
694,BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Laboratories & Research,USA,8693.31,12.9,301.81,1.30%,45938
695,BIOC,"Biocept, Inc.",Healthcare,Medical Laboratories & Research,USA,14.19,,0.16,-13.84%,2786750
696,BIOL,"BIOLASE, Inc.",Healthcare,Medical Instruments & Supplies,USA,25,,1.26,5.00%,19034
697,BIOS,"BioScrip, Inc.",Healthcare,Home Health Care,USA,405.04,,3.01,-5.05%,1125994
698,BIP,Brookfield Infrastructure Partners L.P.,Utilities,Diversified Utilities,Bermuda,15197.79,80.75,40.57,-0.33%,225782
700,BIT,BlackRock Multi-Sector Income Trust,Financial,Closed-End Fund - Debt,USA,657.78,5.87,17.24,0.41%,62228
701,BITA,Bitauto Holdings Limited,Technology,Internet Information Providers,China,1737.72,,23.71,1.02%,681867
704,BJ,"BJ's Wholesale Club Holdings, Inc.",Services,"Specialty Retail, Other",USA,2999.77,23.89,23.91,1.10%,901068
708,BJRI,"BJ's Restaurants, Inc.",Services,Restaurants,USA,1277.12,39.31,60.92,-0.77%,139443
710,BK,The Bank of New York Mellon Corporation,Financial,Asset Management,USA,53758.07,16.06,54.04,1.59%,1641571
711,BKCC,BlackRock Capital Investment Corporation,Financial,Asset Management,USA,436.91,133.11,6.03,0.67%,255031
712,BKD,Brookdale Senior Living Inc.,Healthcare,Long-Term Care Facilities,USA,1829.56,,9.72,-0.72%,1326306
713,BKE,"The Buckle, Inc.",Services,Apparel Stores,USA,1270.42,13.89,26.23,-1.22%,230203
714,BKEP,"Blueknight Energy Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,135.11,,3.33,-0.61%,158867
717,BKH,Black Hills Corporation,Utilities,Electric Utilities,USA,3410.82,6.27,61.47,-3.91%,257685
718,BKHU,Black Hills Corporation EQUITY UNIT,Utilities,Diversified Utilities,USA,3640.32,16.01,68.21,0.20%,1135
719,BKI,"Black Knight, Inc.",Consumer Goods,Paper & Paper Products,USA,8053.04,80.65,54.6,0.74%,258456
720,BKJ,"Bancorp Of New Jersey, Inc.",Financial,Savings & Loans,USA,121.52,23.28,17.6,-0.65%,3231
