No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
1,A,"Agilent Technologies, Inc.",Healthcare,Medical Laboratories & Research,USA,20057.38,26.36,63.16,1.40%,832842
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8539.88,54.81,48.12,2.08%,1586335
3,AABA,Altaba Inc.,Financial,Asset Management,USA,59534.4,2.8,75.68,0.42%,6349249
4,AAC,"AAC Holdings, Inc.",Healthcare,Specialized Health Services,USA,238.61,,9.68,2.11%,65149
6,AAL,American Airlines Group Inc.,Services,Major Airlines,USA,17672.62,6.83,39.22,2.98%,2919519
7,AAMC,Altisource Asset Management Corporation,Financial,Asset Management,USA,110.81,,66.75,0.00%,0
8,AAME,Atlantic American Corporation,Financial,Life Insurance,USA,51.7,,2.52,3.02%,4251
9,AAN,"Aaron's, Inc.",Services,Rental & Leasing Services,USA,3101.46,20.55,44.52,0.88%,224022
10,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductor - Integrated Circuits,USA,900.15,18.28,45.89,-0.28%,767560
11,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,1806.65,42.43,35.6,0.85%,73346
12,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,10147.7,26.36,141.03,2.81%,598269
13,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,944526.14,17.32,190.25,1.21%,13254083
14,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1817.33,86.53,38.35,-1.52%,197358
15,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,71.6,,0.73,0.55%,115503
16,AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,585.78,12.4,3.15,0.00%,41226
17,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,1827.69,18.17,72.7,1.75%,107606
19,AAXN,"Axon Enterprise, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,3732.68,165.31,66.41,0.69%,420686
20,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2782.83,11.17,29.35,0.86%,121534
21,ABAC,"Renmin Tianli Group, Inc.",Consumer Goods,Farm Products,China,25.61,16.81,2.36,-12.27%,74613
22,ABAX,"Abaxis, Inc.",Healthcare,Medical Laboratories & Research,USA,1898.48,62.58,83.2,-0.04%,85989
23,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,46251.25,22.4,21.91,1.65%,3719579
24,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,154199.72,15.58,97.16,0.25%,3314632
25,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,19052.54,74.24,88.18,0.24%,672081
26,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,2023.8,21.69,53.75,0.84%,502863
27,ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,558.29,9.65,11.86,-1.50%,106605
29,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,761.61,,15.8,-0.94%,437106
30,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,73038.48,36.61,4.68,0.54%,11232644
31,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1437.88,9.62,72.15,2.41%,97323
32,ABIL,Ability Inc.,Technology,Communication Equipment,Israel,16.61,,6.85,-8.42%,140617
33,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,7.5,,0.56,1.33%,96480
34,ABM,ABM Industries Incorporated,Services,Business Services,USA,1984.62,29.51,30.64,1.88%,140270
35,ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,18281.73,138.75,409,0.74%,406326
36,ABR,"Arbor Realty Trust, Inc.",Financial,REIT - Diversified,USA,726.08,8.65,10.85,0.05%,1909052
37,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,108992.09,58.86,62.47,0.50%,2087473
38,ABTX,"Allegiance Bancshares, Inc.",Financial,Regional - Southwest Banks,USA,580.35,27.22,44.75,1.24%,13083
39,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,Canada,457.88,,8.98,-2.45%,379137
40,ABX,Barrick Gold Corporation,Basic Materials,Gold,Canada,15764.21,27.13,13.29,-0.45%,5805218
41,AC,"Associated Capital Group, Inc.",Financial,Asset Management,USA,901.2,,39.75,-0.62%,11721
42,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,2225.13,,16.5,-7.48%,5463806
43,ACBI,"Atlantic Capital Bancshares, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,515.49,33.53,20.23,0.87%,27779
44,ACC,"American Campus Communities, Inc.",Financial,REIT - Residential,USA,5893.83,86.51,42.63,-1.24%,604873
45,ACCO,ACCO Brands Corporation,Consumer Goods,Office Supplies,USA,1511.64,13.71,14.3,1.78%,107564
46,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,176.1,,24.35,2.18%,14898
47,ACET,Aceto Corporation,Basic Materials,Chemicals - Major Diversified,USA,113.31,,3.63,0.28%,146694
49,ACGLO,Arch Capital Group Ltd.,Financial,Insurance Brokers,Bermuda,10102.64,22.62,24.95,-0.36%,20305
51,ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,China,7339.84,31.59,10.45,3.06%,33849
52,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Specialized Health Services,USA,3690.12,18.84,42.73,1.14%,205849
53,ACHN,"Achillion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,402.6,,2.96,-1.00%,422844
54,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,USA,4.58,,3.64,1.68%,103411
55,ACIA,"Acacia Communications, Inc.",Technology,Communication Equipment,USA,1371.75,60.31,34.54,-2.43%,338222
57,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,533.43,,12.69,-1.32%,455603
58,ACIW,"ACI Worldwide, Inc.",Technology,Technical & System Software,USA,3009,137.67,26.22,0.77%,141866
59,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,675.58,5.9,21.95,4.28%,294077
60,ACM,AECOM,Services,Technical Services,USA,5261.74,38.05,33.3,0.94%,315786
61,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,174.14,,11.23,3.50%,22849
62,ACN,Accenture plc,Technology,Information Technology Services,Ireland,105041.28,24.79,165.86,0.82%,960271
63,ACNB,ACNB Corporation,Financial,Regional - Southwest  Banks,USA,245.66,17.57,35.38,-0.35%,7607
64,ACOR,"Acorda Therapeutics, Inc.",Healthcare,Biotechnology,USA,1421.46,,30.25,-0.98%,143177
66,ACRE,Ares Commercial Real Estate Corporation,Financial,REIT - Diversified,USA,400.15,12.22,14.14,-0.56%,60084
67,ACRS,"Aclaris Therapeutics, Inc.",Healthcare,Biotechnology,USA,610.6,,20.83,1.68%,136431
68,ACRX,"AcelRx Pharmaceuticals, Inc.",Healthcare,Medical Appliances & Equipment,USA,182.19,,3.55,0.00%,226070
69,ACSF,"American Capital Senior Floating, Ltd.",Financial,Asset Management,USA,123,20.23,12.33,0.20%,12804
71,ACST,Acasti Pharma Inc.,Healthcare,Biotechnology,Canada,8.65,,0.58,-1.39%,164143
73,ACTG,Acacia Research Corporation,Services,Business Services,USA,207.68,103.85,4.1,1.23%,21892
74,ACU,Acme United Corporation,Consumer Goods,Housewares & Accessories,USA,67.64,13.08,19.09,0.47%,5074
75,ACV,AllianzGI Diversified Income &,Consumer Goods,Personal Products,USA,238.39,5.4,23.51,1.38%,31488
80,ACXM,Acxiom Corporation,Technology,Information Technology Services,USA,3042.95,,40.17,1.13%,626015
81,ACY,AeroCentury Corp.,Services,Rental & Leasing Services,USA,21.57,12.79,15.45,0.98%,1407
82,ADAP,Adaptimmune Therapeutics plc,Healthcare,Biotechnology,United Kingdom,1105.25,,11.19,-2.44%,548733
83,ADBE,Adobe Systems Incorporated,Technology,Application Software,USA,122088.14,51.77,249.3,0.45%,1273183
84,ADC,Agree Realty Corporation,Financial,Property Management,USA,1657.34,26.12,53.36,-1.64%,81253
85,ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,236.61,7.38,11.84,1.63%,44733
86,ADI,"Analog Devices, Inc.",Technology,Semiconductor - Integrated Circuits,USA,36001.32,86.17,96.9,-0.31%,873395
87,ADM,Archer-Daniels-Midland Company,Consumer Goods,Farm Products,USA,26297.73,23.98,47.28,1.23%,2047086
88,ADMA,"ADMA Biologics, Inc.",Healthcare,Biotechnology,USA,207.9,,4.38,-0.45%,178494
89,ADMP,Adamis Pharmaceuticals Corporation,Healthcare,Drug Delivery,USA,150.3,,4.37,-2.89%,712333
90,ADMS,"Adamas Pharmaceuticals, Inc.",Healthcare,Drugs - Generic,USA,683.54,,25.65,0.12%,192221
91,ADNT,Adient plc,Basic Materials,Industrial Metals & Minerals,Ireland,4673.74,29.63,50.07,0.06%,660917
92,ADOM,"ADOMANI, Inc.",Consumer Goods,Auto Parts,USA,75.98,,0.74,-9.47%,602812
93,ADP,"Automatic Data Processing, Inc.",Technology,Business Software & Services,USA,59191.02,34.38,134.09,-0.10%,1793419
97,ADRO,"Aduro BioTech, Inc.",Healthcare,Biotechnology,USA,566.93,,7.4,-1.33%,66186
99,ADS,Alliance Data Systems Corporation,Services,Business Services,USA,13033.3,18.07,244.41,1.58%,315954
100,ADSK,"Autodesk, Inc.",Technology,Technical & System Software,USA,28839.23,,134.75,-0.27%,1128699
101,ADSW,"Advanced Disposal Services, Inc.",Industrial Goods,Waste Management,USA,2204.93,315.32,24.93,0.08%,204152
102,ADT,ADT Inc.,Services,Security & Protection Services,USA,6041.09,21.08,8.45,3.36%,1235154
103,ADTN,"ADTRAN, Inc.",Technology,Communication Equipment,USA,747.6,41.22,15.5,0.00%,66218
104,ADUS,Addus HomeCare Corporation,Healthcare,Home Health Care,USA,687.13,43.59,56.88,-1.09%,71779
105,ADVM,"Adverum Biotechnologies, Inc.",Healthcare,Biotechnology,USA,345.58,,6.07,2.10%,669397
106,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1559.51,4.24,15.67,0.77%,79044
107,ADXS,"Advaxis, Inc.",Healthcare,Biotechnology,USA,81.59,,1.55,-1.27%,136223
108,AE,"Adams Resources & Energy, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,174.87,49.22,41.19,0.35%,1162
109,AEE,Ameren Corporation,Utilities,Electric Utilities,USA,15067.09,20.8,60.1,-3.11%,1007302
110,AEF,Aberdeen Emerging Markets Equit,Financial,Asset Management,United Kingdom,65.6,2.46,7.08,0.98%,268605
111,AEG,Aegon N.V.,Financial,Life Insurance,Netherlands,12509.38,4.76,6.11,1.41%,1429849
112,AEGN,Aegion Corporation,Industrial Goods,Heavy Construction,USA,829.35,,26.42,-0.23%,36948
113,AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,56.01,,2.71,3.79%,56928
114,AEIS,"Advanced Energy Industries, Inc.",Technology,Diversified Electronics,USA,2423.1,11.05,61.49,0.54%,161769
115,AEL,American Equity Investment Life Holding Company,Financial,Life Insurance,USA,3210.01,10.93,36.45,1.73%,281769
116,AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,Canada,10943.21,51.51,46.1,-1.63%,692030
117,AEMD,"Aethlon Medical, Inc.",Technology,Scientific & Technical Instruments,USA,22.1,,1.35,0.38%,72702
118,AEO,"American Eagle Outfitters, Inc.",Services,Apparel Stores,USA,4235.31,21.55,24.06,-0.82%,2430987
119,AEP,"American Electric Power Company, Inc.",Utilities,Electric Utilities,USA,34723.06,20.18,69.15,-3.37%,2952261
120,AER,AerCap Holdings N.V.,Services,"Air Services, Other",Netherlands,7966.86,8.01,55.29,1.28%,649418
121,AERI,"Aerie Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Major,USA,2601.57,,67.93,0.78%,176376
122,AES,The AES Corporation,Utilities,Electric Utilities,USA,8604.83,36.01,12.62,-2.92%,3146764
123,AET,Aetna Inc.,Healthcare,Health Care Plans,USA,61002.4,17.19,187.71,0.81%,483625
124,AETI,"American Electric Technologies, Inc",Industrial Goods,Industrial Electrical Equipment,USA,10.71,,1.38,8.66%,859481
125,AEY,"ADDvantage Technologies Group, Inc.",Services,Electronics Wholesale,USA,13.6,,1.34,0.96%,55309
126,AEZS,Aeterna Zentaris Inc.,Healthcare,Biotechnology,Canada,33.37,36.9,1.99,-1.90%,58895
128,AFG,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,9505.33,17.58,109.21,1.76%,73452
130,AFH,"Atlas Financial Holdings, Inc.",Financial,Property & Casualty Insurance,USA,110.38,,8.68,1.46%,44785
131,AFI,"Armstrong Flooring, Inc.",Industrial Goods,General Building Materials,USA,373.71,,14.42,-0.76%,20939
133,AFL,Aflac Incorporated,Financial,Accident & Health Insurance,USA,33211.91,12.15,43.33,0.98%,1739215
134,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,106.1,,1.8,-2.70%,179005
135,AFSI,"AmTrust Financial Services, Inc.",Financial,Property & Casualty Insurance,USA,2862.85,19.32,14.56,-0.21%,807669
138,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,1364.3,,8.26,0.00%,2047967
139,AGC,Advent Claymore Convertible Securities & Income Fund II,Financial,Exchange Traded Fund,USA,152.01,,5.58,0.34%,93540
140,AGCO,AGCO Corporation,Industrial Goods,Farm & Construction Machinery,USA,4802.5,18.62,63.29,3.87%,234302
142,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,235.39,,2.35,-2.89%,552759
143,AGFS,"AgroFresh Solutions, Inc.",Conglomerates,Conglomerates,USA,356.97,65.56,7.04,-0.56%,81864
148,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,1750.92,71.34,5.74,-1.88%,1367984
149,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,4873.86,,86.78,2.17%,216238
150,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,227.1,,10.28,1.09%,175337
151,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,959.14,13.09,95.05,2.27%,21895
152,AGMH,AGM Group Holdings Inc.,Technology,Application Software,China,483.02,119.26,21.75,-4.02%,67039
153,AGN,Allergan plc,Healthcare,Drugs - Generic,USA,57179.97,,177.6,1.72%,1063003
155,AGNCB,AGNC Investment Corp.,Financial,REIT - Residential,USA,10083.8,12.63,25.88,0.42%,9184
158,AGO,Assured Guaranty Ltd.,Financial,Surety & Title Insurance,Bermuda,4049.48,6.57,37.41,1.67%,251432
160,AGR,"Avangrid, Inc.",Utilities,Gas Utilities,USA,16472.84,291.02,52.11,-3.73%,419862
161,AGRO,Adecoagro S.A.,Consumer Goods,Farm Products,Luxembourg,983.68,84.1,8.55,1.66%,147760
162,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drugs - Generic,USA,19.17,,0.57,1.75%,199409
163,AGS,"PlayAGS, Inc.",Services,Gaming Activities,USA,979.22,,28.41,-1.58%,191119
165,AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,76.99,,4.4,4.76%,15068
166,AGX,"Argan, Inc.",Industrial Goods,Heavy Construction,USA,621.91,11.68,41.3,0.61%,83141
167,AGYS,"Agilysys, Inc.",Technology,Application Software,USA,364.94,,16.57,1.84%,148142
170,AHC,A.H. Belo Corporation,Services,Publishing - Newspapers,USA,99.88,6.81,4.47,1.70%,9272
171,AHH,"Armada Hoffler Properties, Inc.",Financial,REIT - Diversified,USA,949.66,39.02,15.3,-1.48%,190727
172,AHL,Aspen Insurance Holdings Limited,Financial,Property & Casualty Insurance,Bermuda,2451.87,,41.08,1.42%,235273
173,AHPA,Avista Healthcare Public Acquisition Corp.,Conglomerates,Conglomerates,USA,20.51,,10.05,0.00%,0
174,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Appliances & Equipment,USA,9.7,,2.44,-0.41%,1577
175,AHT,"Ashford Hospitality Trust, Inc.",Financial,REIT - Hotel/Motel,USA,835.38,,8.32,-2.52%,401944
176,AI,Arlington Asset Investment Corp.,Financial,Mortgage Investment,USA,291.83,,10.43,-0.33%,286305
179,AIG,"American International Group, Inc.",Financial,Property & Casualty Insurance,USA,49365.35,163.27,55.54,2.15%,2507527
180,AIHS,Senmiao Technology Limited,Financial,Credit Services,China,140.29,,5.1,-3.77%,10796
181,AIMC,Altra Industrial Motion Corp.,Industrial Goods,Industrial Electrical Equipment,USA,1270.65,30.06,44.25,1.37%,39014
182,AIMT,"Aimmune Therapeutics, Inc.",Healthcare,Biotechnology,USA,1613.96,,28.35,-0.47%,182730
183,AIN,Albany International Corp.,Industrial Goods,Textile Industrial,USA,1954.39,50.7,62.6,1.38%,31362
184,AINC,Ashford Inc.,Financial,Asset Management,USA,138.36,,65,-2.75%,9885
185,AINV,Apollo Investment Corporation,Financial,Asset Management,USA,1218.97,14.17,5.71,1.24%,792101
186,AIPT,Precision Therapeutics Inc.,Healthcare,Medical Instruments & Supplies,USA,13.61,,1.19,-1.26%,48797
187,AIQ,Global X Future Analytics Tech ETF,Healthcare,Medical Laboratories & Research,USA,166.95,175.16,15.47,0.36%,10690
188,AIR,AAR Corp.,Industrial Goods,Aerospace/Defense Products & Services,USA,1611.88,28.28,48.26,2.25%,165392
189,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,93.41,,10.27,1.43%,41567
190,AIRI,Air Industries Group,Industrial Goods,Aerospace/Defense Products & Services,USA,46.1,,1.56,4.00%,41429
192,AIRT,"Air T, Inc.",Services,Air Delivery & Freight Services,USA,66.9,25.72,32.5,6.38%,947
193,AIT,"Applied Industrial Technologies, Inc.",Services,Industrial Equipment Wholesale,USA,2730.11,18.86,72.4,1.12%,41496
194,AIV,Apartment Investment and Management Company,Financial,REIT - Residential,USA,6624.52,622.65,41.97,-0.87%,746540
195,AIZ,"Assurant, Inc.",Financial,Accident & Health Insurance,USA,6657.05,18.9,106.31,1.52%,546821
196,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,12126.01,17.22,68.16,2.02%,317867
197,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrial Goods,Aerospace/Defense - Major Diversified,USA,2226.61,34.49,29.77,0.25%,222053
198,AJX,Great Ajax Corp.,Financial,REIT - Diversified,USA,246.63,11.92,13.19,-0.15%,8802
199,AKAM,"Akamai Technologies, Inc.",Technology,Internet Information Providers,USA,12666.14,59.56,75.94,1.02%,747480
200,AKAO,"Achaogen, Inc.",Healthcare,Biotechnology,USA,402.69,,7.79,-8.46%,2309251
201,AKBA,"Akebia Therapeutics, Inc.",Healthcare,Biotechnology,USA,556.87,,9.96,-1.09%,296464
202,AKCA,"Akcea Therapeutics, Inc.",Healthcare,Biotechnology,USA,2155.16,,24.41,-4.35%,247109
203,AKER,"Akers Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,35.6,,0.37,-1.54%,935349
204,AKG,Asanko Gold Inc.,Basic Materials,Gold,Canada,254.4,565,1.12,-0.88%,105646
205,AKO-A,Embotelladora Andina S.A.,Consumer Goods,Beverages - Soft Drinks,Chile,18552.79,16.5,20.8,6.12%,4511
208,AKR,Acadia Realty Trust,Financial,Property Management,USA,2229.9,42.26,27.37,-1.12%,170198
209,AKRX,"Akorn, Inc.",Healthcare,Drugs - Generic,USA,2143.28,,18.71,3.54%,3342957
210,AKS,AK Steel Holding Corporation,Basic Materials,Steel & Iron,USA,1444.47,,4.55,-0.87%,13095207
211,AKTS,"Akoustis Technologies, Inc.",Technology,Communication Equipment,USA,170.09,,8.38,-4.67%,148581
212,AKTX,"Akari Therapeutics, Plc",Healthcare,Biotechnology,USA,31.39,,2.06,0.10%,11811
213,AL,Air Lease Corporation,Services,Rental & Leasing Services,USA,4367.32,10.88,43.19,2.38%,187429
214,ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,10702.39,19.41,95.92,0.39%,607220
215,ALBO,"Albireo Pharma, Inc.",Healthcare,Biotechnology,USA,430.77,,36.96,0.90%,39668
216,ALCO,"Alico, Inc.",Consumer Goods,Farm Products,USA,255.91,,32.2,1.42%,1763
218,ALDR,"Alder Biopharmaceuticals, Inc.",Healthcare,Biotechnology,USA,1207.64,,17.63,-0.98%,618277
219,ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,Biotechnology,USA,161.87,,8.27,0.91%,34811
220,ALE,"ALLETE, Inc.",Utilities,Diversified Utilities,USA,4116.99,26.69,77.09,-4.13%,116079
221,ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,USA,1752.14,5.85,25,-0.30%,234831
223,ALG,Alamo Group Inc.,Industrial Goods,Farm & Construction Machinery,USA,1056.2,18.74,92.49,1.49%,14695
224,ALGN,"Align Technology, Inc.",Healthcare,Medical Appliances & Equipment,USA,27144.36,89.14,348.14,0.19%,512983
225,ALGT,Allegiant Travel Company,Services,Regional Airlines,USA,2251.5,17.12,140.7,-2.33%,100799
226,ALIM,"Alimera Sciences, Inc.",Healthcare,Drug Manufacturers - Major,USA,70.7,,1.01,1.15%,80873
227,ALJJ,"ALJ Regional Holdings, Inc.",Services,Business Services,USA,72.09,5.45,1.92,-1.03%,9590
228,ALK,"Alaska Air Group, Inc.",Services,Regional Airlines,USA,7677.48,11.73,63.63,2.06%,981376
229,ALKS,Alkermes plc,Healthcare,Biotechnology,Ireland,6567.65,,43.34,1.90%,415739
230,ALL,The Allstate Corporation,Financial,Property & Casualty Insurance,USA,32302.08,11.79,93.55,1.51%,757111
231,ALLE,Allegion plc,Services,Security & Protection Services,Ireland,7314,22.37,77.85,1.29%,394679
232,ALLT,Allot Communications Ltd.,Technology,Communication Equipment,Israel,181.37,,5.4,0.00%,109404
233,ALLY,Ally Financial Inc.,Financial,Mortgage Investment,USA,11755.94,11.15,27.7,2.80%,1709642
234,ALN,American Lorain Corporation,Consumer Goods,Processed & Packaged Goods,China,13.6,,0.21,-11.60%,357427
235,ALNA,"Allena Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,279.42,,12.42,-5.75%,76626
236,ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,9913.06,,102.61,1.56%,366561
237,ALO,Alio Gold Inc.,Basic Materials,Gold,Canada,55.48,7.32,1.56,0.00%,124953
238,ALOT,"AstroNova, Inc.",Technology,Computer Peripherals,USA,130.91,27.66,18.9,-0.53%,9863
239,ALPN,"Alpine Immune Sciences, Inc.",Healthcare,Biotechnology,USA,106.88,6.79,8.1,1.20%,9978
240,ALQA,"Alliqua BioMedical, Inc.",Healthcare,Drug Manufacturers - Major,USA,9.9,,2,0.86%,1111
241,ALRM,"Alarm.com Holdings, Inc.",Technology,Application Software,USA,1961.83,46.68,42.46,0.40%,224539
242,ALRN,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA,80.3,,5.36,-0.74%,56867
243,ALSK,"Alaska Communications Systems Group, Inc.",Technology,Telecom Services - Domestic,USA,92.4,192.22,1.82,5.20%,132943
244,ALSN,"Allison Transmission Holdings, Inc.",Consumer Goods,Auto Parts,USA,5616.99,13.91,41.25,2.08%,419190
245,ALT,"Altimmune, Inc.",Healthcare,Biotechnology,USA,14.51,,0.46,12.12%,1101266
246,ALTR,Altair Engineering Inc.,Technology,Semiconductor - Specialized,USA,2278.44,,34.75,0.46%,107576
249,ALV,"Autoliv, Inc.",Consumer Goods,Auto Parts,Sweden,9058.44,19.17,104.22,0.10%,297526
250,ALX,"Alexander's, Inc.",Financial,REIT - Retail,USA,1974.28,26.99,382.36,-0.65%,1211
251,ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,29361.62,48.85,131.57,-0.48%,998272
252,AM,Antero Midstream Partners LP,Basic Materials,Oil & Gas Pipelines,USA,5508.19,22.15,30.92,2.86%,179284
253,AMAG,"AMAG Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,691.74,,20.48,1.11%,186911
254,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,USA,45160.35,11.57,46.42,0.62%,6818223
255,AMBA,"Ambarella, Inc.",Technology,Semiconductor Equipment & Materials,USA,1268.74,167.06,40.26,1.27%,266918
256,AMBC,"Ambac Financial Group, Inc.",Financial,Surety & Title Insurance,USA,902.6,8.95,20.2,1.76%,150207
257,AMBO,Ambow Education Holding Ltd.,Services,Education & Training Services,China,91.91,11.45,4.86,0.62%,6097
258,AMBR,"Amber Road, Inc.",Technology,Application Software,USA,262.31,,9.42,-0.63%,29741
259,AMC,"AMC Entertainment Holdings, Inc.",Services,"Movie Production, Theaters",USA,2029.98,,17.35,0.29%,1097003
261,AMCN,AirMedia Group Inc.,Services,Marketing Services,China,39.6,,0.62,-2.36%,79930
262,AMCX,AMC Networks Inc.,Services,Entertainment - Diversified,USA,3546.63,9.08,63.88,1.63%,257330
263,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductor - Broad Line,USA,15836.48,,16.65,1.77%,47410111
264,AMDA,Amedica Corporation,Healthcare,Medical Appliances & Equipment,USA,3.9,,0.76,-3.77%,247054
265,AME,"AMETEK, Inc.",Industrial Goods,Diversified Machinery,USA,16574.24,26.42,73,1.54%,272782
266,AMED,"Amedisys, Inc.",Healthcare,Home Health Care,USA,3127.16,48.92,91.89,1.82%,206877
267,AMG,"Affiliated Managers Group, Inc.",Financial,Asset Management,USA,7996.72,16.51,151.34,2.22%,244813
268,AMGN,Amgen Inc.,Healthcare,Biotechnology,USA,135044.07,16.52,193.6,1.36%,1905480
269,AMGP,Antero Midstream GP LP,Basic Materials,Independent Oil & Gas,USA,3539.72,201.15,19.49,0.93%,455770
270,AMH,American Homes 4 Rent,Financial,REIT - Residential,USA,6603.54,,22.5,-0.16%,1181717
271,AMID,"American Midstream Partners, LP",Basic Materials,Oil & Gas Pipelines,USA,536.51,,10.55,4.46%,248259
274,AMKR,"Amkor Technology, Inc.",Technology,Semiconductor - Integrated Circuits,USA,2023.9,8.83,8.85,0.68%,332634
276,AMMA,"Alliance MMA, Inc.",Services,Entertainment - Diversified,USA,4.5,,0.31,3.52%,164530
277,AMN,"AMN Healthcare Services, Inc.",Industrial Goods,General Building Materials,USA,2945.13,23.55,62.05,0.57%,103116
278,AMNB,American National Bankshares Inc.,Financial,Regional - Mid-Atlantic Banks,USA,356.06,18.2,42.35,2.17%,2835
279,AMOT,Allied Motion Technologies Inc.,Industrial Goods,Industrial Electrical Equipment,USA,459.72,37.06,51.22,1.17%,37951
280,AMP,"Ameriprise Financial, Inc.",Financial,Asset Management,USA,21181.16,11.18,146,3.05%,663897
281,AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,187.29,,2.31,-1.28%,219511
282,AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Other,USA,734.61,,16.81,2.81%,109124
283,AMR,"Alta Mesa Resources, Inc.",Services,Major Airlines,USA,1152.33,,7.08,4.27%,459613
284,AMRB,American River Bankshares,Financial,Regional - Pacific Banks,USA,98.56,21.8,16,0.00%,3604
285,AMRC,"Ameresco, Inc.",Services,Technical Services,USA,589.78,19.78,13.07,-2.80%,111371
286,AMRH,"AMERI Holdings, Inc.",Technology,Information Technology Services,USA,21.8,,1.18,4.16%,265407
287,AMRK,"A-Mark Precious Metals, Inc.",Financial,Investment Brokerage - National,USA,95.59,211.77,13.07,-0.46%,15714
288,AMRN,Amarin Corporation plc,Healthcare,Biotechnology,Ireland,880.8,,2.96,-0.67%,2827927
289,AMRS,"Amyris, Inc.",Basic Materials,Specialty Chemicals,USA,313.62,,6.61,5.10%,430796
